date,value
2023-04-20 14:36:08,12.76
2023-04-20 14:36:08,49.92
2023-04-20 14:36:08,22.85
2023-04-20 14:36:08,51.29
2023-04-20 14:36:08,17.78
2023-04-20 14:36:08,43.84
2023-04-20 14:36:08,48.61
2023-04-20 14:36:08,47.03
2023-04-20 14:36:08,311.69
2023-04-20 14:36:08,23.21
2023-04-20 14:36:08,8.73
2023-04-20 14:36:08,7.81
2023-04-20 14:36:08,5.56
2023-04-20 14:36:08,3.28
2023-04-20 14:36:08,7.29
2023-04-20 14:36:08,3.25
2023-04-20 14:36:08,2.53
2023-04-20 14:36:08,1.94
2023-04-20 14:36:08,110.0
2023-04-20 14:36:08,99.0
2023-04-20 14:36:08,8.0
2023-04-20 14:36:09,12.76
2023-04-20 14:36:09,49.92
2023-04-20 14:36:09,22.85
2023-04-20 14:36:09,51.29
2023-04-20 14:36:09,17.78
2023-04-20 14:36:09,43.84
2023-04-20 14:36:09,49.73
2023-04-20 14:36:09,47.03
2023-04-20 14:36:09,311.69
2023-04-20 14:36:09,23.21
2023-04-20 14:36:09,9.7
2023-04-20 14:36:09,7.35
2023-04-20 14:36:09,5.56
2023-04-20 14:36:09,3.28
2023-04-20 14:36:09,7.29
2023-04-20 14:36:09,3.25
2023-04-20 14:36:09,2.53
2023-04-20 14:36:09,1.94
2023-04-20 14:36:09,111.0
2023-04-20 14:36:09,99.0
2023-04-20 14:36:09,8.0
2023-04-20 14:36:10,12.76
2023-04-20 14:36:10,49.92
2023-04-20 14:36:10,22.85
2023-04-20 14:36:10,51.29
2023-04-20 14:36:10,17.78
2023-04-20 14:36:10,43.84
2023-04-20 14:36:10,49.73
2023-04-20 14:36:10,47.03
2023-04-20 14:36:10,311.69
2023-04-20 14:36:10,23.21
2023-04-20 14:36:10,8.73
2023-04-20 14:36:10,7.35
2023-04-20 14:36:10,5.56
2023-04-20 14:36:10,3.28
2023-04-20 14:36:10,7.29
2023-04-20 14:36:10,3.25
2023-04-20 14:36:10,2.53
2023-04-20 14:36:10,1.94
2023-04-20 14:36:10,111.0
2023-04-20 14:36:10,100.0
2023-04-20 14:36:10,8.0
2023-04-20 14:36:11,12.76
2023-04-20 14:36:11,49.92
2023-04-20 14:36:11,22.85
2023-04-20 14:36:11,50.35
2023-04-20 14:36:11,17.78
2023-04-20 14:36:11,43.13
2023-04-20 14:36:11,49.17
2023-04-20 14:36:11,46.49
2023-04-20 14:36:11,310.56
2023-04-20 14:36:11,23.21
2023-04-20 14:36:11,9.7
2023-04-20 14:36:11,7.35
2023-04-20 14:36:11,5.56
2023-04-20 14:36:11,3.28
2023-04-20 14:36:11,7.29
2023-04-20 14:36:11,3.25
2023-04-20 14:36:11,2.53
2023-04-20 14:36:11,1.94
2023-04-20 14:36:11,109.0
2023-04-20 14:36:11,97.0
2023-04-20 14:36:11,8.0
2023-04-20 14:36:12,12.76
2023-04-20 14:36:12,49.92
2023-04-20 14:36:12,22.85
2023-04-20 14:36:12,51.29
2023-04-20 14:36:12,17.78
2023-04-20 14:36:12,43.84
2023-04-20 14:36:12,49.73
2023-04-20 14:36:12,47.03
2023-04-20 14:36:12,311.69
2023-04-20 14:36:12,23.21
2023-04-20 14:36:12,9.7
2023-04-20 14:36:12,7.35
2023-04-20 14:36:12,5.56
2023-04-20 14:36:12,3.28
2023-04-20 14:36:12,7.29
2023-04-20 14:36:12,3.25
2023-04-20 14:36:12,2.53
2023-04-20 14:36:12,1.94
2023-04-20 14:36:12,107.0
2023-04-20 14:36:12,99.0
2023-04-20 14:36:12,8.0
2023-04-20 14:36:12,12.76
2023-04-20 14:36:12,49.92
2023-04-20 14:36:12,22.85
2023-04-20 14:36:12,51.29
2023-04-20 14:36:12,17.78
2023-04-20 14:36:12,43.84
2023-04-20 14:36:12,49.17
2023-04-20 14:36:12,47.03
2023-04-20 14:36:12,311.69
2023-04-20 14:36:12,23.21
2023-04-20 14:36:12,9.7
2023-04-20 14:36:12,7.35
2023-04-20 14:36:12,5.56
2023-04-20 14:36:12,3.28
2023-04-20 14:36:12,7.29
2023-04-20 14:36:12,3.25
2023-04-20 14:36:12,2.53
2023-04-20 14:36:12,1.94
2023-04-20 14:36:12,112.0
2023-04-20 14:36:12,100.0
2023-04-20 14:36:12,8.0
2023-04-20 14:36:13,12.76
2023-04-20 14:36:13,49.92
2023-04-20 14:36:13,22.85
2023-04-20 14:36:13,51.29
2023-04-20 14:36:13,17.78
2023-04-20 14:36:13,43.84
2023-04-20 14:36:13,49.17
2023-04-20 14:36:13,47.03
2023-04-20 14:36:13,311.69
2023-04-20 14:36:13,23.21
2023-04-20 14:36:13,9.7
2023-04-20 14:36:13,7.35
2023-04-20 14:36:13,5.56
2023-04-20 14:36:13,3.28
2023-04-20 14:36:13,7.29
2023-04-20 14:36:13,3.25
2023-04-20 14:36:13,2.53
2023-04-20 14:36:13,1.94
2023-04-20 14:36:13,106.0
2023-04-20 14:36:13,93.0
2023-04-20 14:36:13,8.0
2023-04-20 14:36:14,12.76
2023-04-20 14:36:14,49.92
2023-04-20 14:36:14,22.85
2023-04-20 14:36:14,51.29
2023-04-20 14:36:14,17.78
2023-04-20 14:36:14,43.84
2023-04-20 14:36:14,49.17
2023-04-20 14:36:14,47.03
2023-04-20 14:36:14,311.69
2023-04-20 14:36:14,23.21
2023-04-20 14:36:14,9.7
2023-04-20 14:36:14,7.35
2023-04-20 14:36:14,5.56
2023-04-20 14:36:14,3.28
2023-04-20 14:36:14,7.29
2023-04-20 14:36:14,3.25
2023-04-20 14:36:14,2.53
2023-04-20 14:36:14,1.94
2023-04-20 14:36:14,110.0
2023-04-20 14:36:14,99.0
2023-04-20 14:36:14,8.0
2023-04-20 14:36:15,12.76
2023-04-20 14:36:15,49.92
2023-04-20 14:36:15,22.85
2023-04-20 14:36:15,51.29
2023-04-20 14:36:15,17.78
2023-04-20 14:36:15,43.84
2023-04-20 14:36:15,49.17
2023-04-20 14:36:15,47.03
2023-04-20 14:36:15,311.69
2023-04-20 14:36:15,23.21
2023-04-20 14:36:15,8.73
2023-04-20 14:36:15,7.35
2023-04-20 14:36:15,5.56
2023-04-20 14:36:15,3.28
2023-04-20 14:36:15,7.29
2023-04-20 14:36:15,3.25
2023-04-20 14:36:15,2.53
2023-04-20 14:36:15,1.94
2023-04-20 14:36:15,109.0
2023-04-20 14:36:15,97.0
2023-04-20 14:36:15,8.0
2023-04-20 14:36:16,12.76
2023-04-20 14:36:16,49.92
2023-04-20 14:36:16,22.85
2023-04-20 14:36:16,51.29
2023-04-20 14:36:16,17.78
2023-04-20 14:36:16,43.84
2023-04-20 14:36:16,49.17
2023-04-20 14:36:16,47.03
2023-04-20 14:36:16,311.69
2023-04-20 14:36:16,23.21
2023-04-20 14:36:16,8.73
2023-04-20 14:36:16,7.35
2023-04-20 14:36:16,5.56
2023-04-20 14:36:16,3.28
2023-04-20 14:36:16,7.29
2023-04-20 14:36:16,3.25
2023-04-20 14:36:16,2.53
2023-04-20 14:36:16,1.94
2023-04-20 14:36:16,109.0
2023-04-20 14:36:16,97.0
2023-04-20 14:36:16,8.0
2023-04-20 14:36:17,12.76
2023-04-20 14:36:17,49.92
2023-04-20 14:36:17,22.85
2023-04-20 14:36:17,51.29
2023-04-20 14:36:17,17.78
2023-04-20 14:36:17,43.84
2023-04-20 14:36:17,48.61
2023-04-20 14:36:17,47.03
2023-04-20 14:36:17,310.56
2023-04-20 14:36:17,23.21
2023-04-20 14:36:17,9.7
2023-04-20 14:36:17,7.35
2023-04-20 14:36:17,5.56
2023-04-20 14:36:17,3.28
2023-04-20 14:36:17,7.29
2023-04-20 14:36:17,3.25
2023-04-20 14:36:17,2.53
2023-04-20 14:36:17,1.94
2023-04-20 14:36:17,108.0
2023-04-20 14:36:17,100.0
2023-04-20 14:36:17,8.0
2023-04-20 14:36:17,12.76
2023-04-20 14:36:17,49.92
2023-04-20 14:36:17,22.85
2023-04-20 14:36:17,51.29
2023-04-20 14:36:17,17.78
2023-04-20 14:36:17,43.84
2023-04-20 14:36:17,49.17
2023-04-20 14:36:17,47.03
2023-04-20 14:36:17,311.69
2023-04-20 14:36:17,23.21
2023-04-20 14:36:17,9.7
2023-04-20 14:36:17,7.35
2023-04-20 14:36:17,5.56
2023-04-20 14:36:17,3.28
2023-04-20 14:36:17,7.29
2023-04-20 14:36:17,3.25
2023-04-20 14:36:17,2.53
2023-04-20 14:36:17,1.94
2023-04-20 14:36:17,106.0
2023-04-20 14:36:17,95.0
2023-04-20 14:36:17,8.0
2023-04-20 14:36:18,12.76
2023-04-20 14:36:18,49.92
2023-04-20 14:36:18,22.85
2023-04-20 14:36:18,51.29
2023-04-20 14:36:18,17.78
2023-04-20 14:36:18,43.84
2023-04-20 14:36:18,49.17
2023-04-20 14:36:18,47.03
2023-04-20 14:36:18,311.69
2023-04-20 14:36:18,23.21
2023-04-20 14:36:18,8.73
2023-04-20 14:36:18,7.35
2023-04-20 14:36:18,5.56
2023-04-20 14:36:18,3.28
2023-04-20 14:36:18,7.29
2023-04-20 14:36:18,3.25
2023-04-20 14:36:18,2.53
2023-04-20 14:36:18,1.94
2023-04-20 14:36:18,110.0
2023-04-20 14:36:18,99.0
2023-04-20 14:36:18,8.0
2023-04-20 14:36:19,12.76
2023-04-20 14:36:19,49.92
2023-04-20 14:36:19,22.85
2023-04-20 14:36:19,51.29
2023-04-20 14:36:19,17.78
2023-04-20 14:36:19,43.84
2023-04-20 14:36:19,49.17
2023-04-20 14:36:19,47.03
2023-04-20 14:36:19,311.69
2023-04-20 14:36:19,23.21
2023-04-20 14:36:19,8.73
2023-04-20 14:36:19,7.35
2023-04-20 14:36:19,5.56
2023-04-20 14:36:19,3.28
2023-04-20 14:36:19,7.29
2023-04-20 14:36:19,3.25
2023-04-20 14:36:19,2.53
2023-04-20 14:36:19,1.94
2023-04-20 14:36:19,109.0
2023-04-20 14:36:19,100.0
2023-04-20 14:36:19,8.0
2023-04-20 14:36:20,12.76
2023-04-20 14:36:20,49.92
2023-04-20 14:36:20,22.85
2023-04-20 14:36:20,51.29
2023-04-20 14:36:20,17.78
2023-04-20 14:36:20,43.84
2023-04-20 14:36:20,49.17
2023-04-20 14:36:20,47.03
2023-04-20 14:36:20,311.69
2023-04-20 14:36:20,23.21
2023-04-20 14:36:20,9.7
2023-04-20 14:36:20,7.35
2023-04-20 14:36:20,5.56
2023-04-20 14:36:20,3.28
2023-04-20 14:36:20,7.29
2023-04-20 14:36:20,3.25
2023-04-20 14:36:20,2.53
2023-04-20 14:36:20,1.94
2023-04-20 14:36:20,111.0
2023-04-20 14:36:20,101.0
2023-04-20 14:36:20,8.0
2023-04-20 14:36:21,12.76
2023-04-20 14:36:21,49.92
2023-04-20 14:36:21,22.85
2023-04-20 14:36:21,51.29
2023-04-20 14:36:21,17.78
2023-04-20 14:36:21,43.84
2023-04-20 14:36:21,49.17
2023-04-20 14:36:21,47.03
2023-04-20 14:36:21,310.56
2023-04-20 14:36:21,23.21
2023-04-20 14:36:21,9.7
2023-04-20 14:36:21,7.35
2023-04-20 14:36:21,5.56
2023-04-20 14:36:21,3.28
2023-04-20 14:36:21,7.29
2023-04-20 14:36:21,3.25
2023-04-20 14:36:21,2.53
2023-04-20 14:36:21,1.94
2023-04-20 14:36:21,110.0
2023-04-20 14:36:21,98.0
2023-04-20 14:36:21,8.0
2023-04-20 14:36:22,12.76
2023-04-20 14:36:22,49.92
2023-04-20 14:36:22,22.85
2023-04-20 14:36:22,51.29
2023-04-20 14:36:22,17.78
2023-04-20 14:36:22,43.84
2023-04-20 14:36:22,49.17
2023-04-20 14:36:22,47.03
2023-04-20 14:36:22,311.69
2023-04-20 14:36:22,23.21
2023-04-20 14:36:22,9.7
2023-04-20 14:36:22,7.35
2023-04-20 14:36:22,5.56
2023-04-20 14:36:22,3.28
2023-04-20 14:36:22,7.29
2023-04-20 14:36:22,3.25
2023-04-20 14:36:22,2.53
2023-04-20 14:36:22,1.94
2023-04-20 14:36:22,107.0
2023-04-20 14:36:22,96.0
2023-04-20 14:36:22,7.0
2023-04-20 14:36:22,12.76
2023-04-20 14:36:22,49.92
2023-04-20 14:36:22,22.85
2023-04-20 14:36:22,51.29
2023-04-20 14:36:22,17.78
2023-04-20 14:36:22,43.84
2023-04-20 14:36:22,48.61
2023-04-20 14:36:22,47.03
2023-04-20 14:36:22,311.69
2023-04-20 14:36:22,23.21
2023-04-20 14:36:22,9.7
2023-04-20 14:36:22,7.35
2023-04-20 14:36:22,5.56
2023-04-20 14:36:22,3.28
