date,wavelength1,wavelength2,wavelength3,wavelength4,wavelength5,wavelength6,wavelength7,wavelength8,wavelength9,wavelength10,wavelength11,wavelength12,wavelength13,wavelength14,wavelength15,wavelength16,wavelength17,wavelength18,solar1,solar2,solar3
2023-07-19 10:02:54,10.87,42.81,18.12,45.64,17.49,22.53,44.20,35.91,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,811,349,288
2023-07-19 10:02:55,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,795,337,291
2023-07-19 10:02:56,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.91,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,817,351,292
2023-07-19 10:02:57,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,817,353,291
2023-07-19 10:02:57,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,279.17,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,801,345,290
2023-07-19 10:02:58,10.87,42.81,18.12,45.64,17.49,22.53,44.20,35.91,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,804,342,288
2023-07-19 10:02:59,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,816,353,292
2023-07-19 10:03:00,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,803,342,287
2023-07-19 10:03:01,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,791,333,288
2023-07-19 10:03:02,10.87,42.81,18.12,45.64,17.49,22.53,44.20,35.91,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,804,348,289
2023-07-19 10:03:02,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,802,341,287
2023-07-19 10:03:03,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.91,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,808,347,291
2023-07-19 10:03:04,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,279.17,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,801,343,287
2023-07-19 10:03:05,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,799,341,286
2023-07-19 10:03:06,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,803,345,290
2023-07-19 10:03:07,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,805,345,291
2023-07-19 10:03:07,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,805,343,288
2023-07-19 10:03:08,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,800,340,288
2023-07-19 10:03:09,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.91,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,813,349,291
2023-07-19 10:03:10,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,802,346,291
2023-07-19 10:03:11,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,790,337,289
2023-07-19 10:03:12,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.91,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,794,338,290
2023-07-19 10:03:12,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,816,354,291
2023-07-19 10:03:13,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,803,343,287
2023-07-19 10:03:14,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.91,279.17,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,803,344,290
2023-07-19 10:03:15,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.91,279.17,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,804,342,287
2023-07-19 10:03:16,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,800,345,288
2023-07-19 10:03:17,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,280.28,21.27,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,792,335,289
2023-07-19 10:03:18,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,812,351,290
2023-07-19 10:03:18,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,279.17,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,798,341,286
2023-07-19 10:03:19,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,279.17,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,809,350,289
2023-07-19 10:03:20,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,279.17,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,800,340,287
2023-07-19 10:03:21,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,801,346,287
2023-07-19 10:03:22,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,800,341,286
2023-07-19 10:03:23,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,791,335,287
2023-07-19 10:03:23,10.87,42.81,18.12,45.64,17.49,22.53,44.20,35.91,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,815,353,291
2023-07-19 10:03:24,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,812,348,290
2023-07-19 10:03:25,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,790,335,289
2023-07-19 10:03:26,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,279.17,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,804,344,288
2023-07-19 10:03:27,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,803,342,287
2023-07-19 10:03:28,10.87,42.81,18.12,45.64,17.49,22.53,44.20,35.39,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,801,341,286
2023-07-19 10:03:28,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,279.17,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,809,347,289
2023-07-19 10:03:29,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,279.17,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,807,345,288
2023-07-19 10:03:30,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,279.17,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,801,342,286
2023-07-19 10:03:31,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,803,342,288
2023-07-19 10:03:32,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,279.17,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,812,352,290
2023-07-19 10:03:33,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,279.17,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,801,341,286
2023-07-19 10:03:34,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.91,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,802,342,287
2023-07-19 10:03:34,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,279.17,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,800,342,287
2023-07-19 10:03:35,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,279.17,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,799,341,286
2023-07-19 10:03:36,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,814,354,293
2023-07-19 10:03:37,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,279.17,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,792,334,287
2023-07-19 10:03:38,10.87,42.81,18.12,45.64,17.49,22.53,43.64,35.39,280.28,21.70,6.22,3.85,5.51,2.52,6.46,2.26,1.34,0.99,801,347,288
