date,value
2023-07-19 10:02:54,10.87
2023-07-19 10:02:54,42.81
2023-07-19 10:02:54,18.12
2023-07-19 10:02:54,45.64
2023-07-19 10:02:54,17.49
2023-07-19 10:02:54,22.53
2023-07-19 10:02:54,44.2
2023-07-19 10:02:54,35.91
2023-07-19 10:02:54,280.28
2023-07-19 10:02:54,21.7
2023-07-19 10:02:54,6.22
2023-07-19 10:02:54,3.85
2023-07-19 10:02:54,5.51
2023-07-19 10:02:54,2.52
2023-07-19 10:02:54,6.46
2023-07-19 10:02:54,2.26
2023-07-19 10:02:54,1.34
2023-07-19 10:02:54,0.99
2023-07-19 10:02:54,811.0
2023-07-19 10:02:54,349.0
2023-07-19 10:02:54,288.0
2023-07-19 10:02:55,10.87
2023-07-19 10:02:55,42.81
2023-07-19 10:02:55,18.12
2023-07-19 10:02:55,45.64
2023-07-19 10:02:55,17.49
2023-07-19 10:02:55,22.53
2023-07-19 10:02:55,43.64
2023-07-19 10:02:55,35.39
2023-07-19 10:02:55,280.28
2023-07-19 10:02:55,21.7
2023-07-19 10:02:55,6.22
2023-07-19 10:02:55,3.85
2023-07-19 10:02:55,5.51
2023-07-19 10:02:55,2.52
2023-07-19 10:02:55,6.46
2023-07-19 10:02:55,2.26
2023-07-19 10:02:55,1.34
2023-07-19 10:02:55,0.99
2023-07-19 10:02:55,795.0
2023-07-19 10:02:55,337.0
2023-07-19 10:02:55,291.0
2023-07-19 10:02:56,10.87
2023-07-19 10:02:56,42.81
2023-07-19 10:02:56,18.12
2023-07-19 10:02:56,45.64
2023-07-19 10:02:56,17.49
2023-07-19 10:02:56,22.53
2023-07-19 10:02:56,43.64
2023-07-19 10:02:56,35.91
2023-07-19 10:02:56,280.28
2023-07-19 10:02:56,21.7
2023-07-19 10:02:56,6.22
2023-07-19 10:02:56,3.85
2023-07-19 10:02:56,5.51
2023-07-19 10:02:56,2.52
2023-07-19 10:02:56,6.46
2023-07-19 10:02:56,2.26
2023-07-19 10:02:56,1.34
2023-07-19 10:02:56,0.99
2023-07-19 10:02:56,817.0
2023-07-19 10:02:56,351.0
2023-07-19 10:02:56,292.0
2023-07-19 10:02:57,10.87
2023-07-19 10:02:57,42.81
2023-07-19 10:02:57,18.12
2023-07-19 10:02:57,45.64
2023-07-19 10:02:57,17.49
2023-07-19 10:02:57,22.53
2023-07-19 10:02:57,43.64
2023-07-19 10:02:57,35.39
2023-07-19 10:02:57,280.28
2023-07-19 10:02:57,21.7
2023-07-19 10:02:57,6.22
2023-07-19 10:02:57,3.85
2023-07-19 10:02:57,5.51
2023-07-19 10:02:57,2.52
2023-07-19 10:02:57,6.46
2023-07-19 10:02:57,2.26
2023-07-19 10:02:57,1.34
2023-07-19 10:02:57,0.99
2023-07-19 10:02:57,817.0
2023-07-19 10:02:57,353.0
2023-07-19 10:02:57,291.0
2023-07-19 10:02:57,10.87
2023-07-19 10:02:57,42.81
2023-07-19 10:02:57,18.12
2023-07-19 10:02:57,45.64
2023-07-19 10:02:57,17.49
2023-07-19 10:02:57,22.53
2023-07-19 10:02:57,43.64
2023-07-19 10:02:57,35.39
2023-07-19 10:02:57,279.17
2023-07-19 10:02:57,21.7
2023-07-19 10:02:57,6.22
2023-07-19 10:02:57,3.85
2023-07-19 10:02:57,5.51
2023-07-19 10:02:57,2.52
2023-07-19 10:02:57,6.46
2023-07-19 10:02:57,2.26
2023-07-19 10:02:57,1.34
2023-07-19 10:02:57,0.99
2023-07-19 10:02:57,801.0
2023-07-19 10:02:57,345.0
2023-07-19 10:02:57,290.0
2023-07-19 10:02:58,10.87
2023-07-19 10:02:58,42.81
2023-07-19 10:02:58,18.12
2023-07-19 10:02:58,45.64
2023-07-19 10:02:58,17.49
2023-07-19 10:02:58,22.53
2023-07-19 10:02:58,44.2
2023-07-19 10:02:58,35.91
2023-07-19 10:02:58,280.28
2023-07-19 10:02:58,21.7
2023-07-19 10:02:58,6.22
2023-07-19 10:02:58,3.85
2023-07-19 10:02:58,5.51
2023-07-19 10:02:58,2.52
2023-07-19 10:02:58,6.46
2023-07-19 10:02:58,2.26
2023-07-19 10:02:58,1.34
2023-07-19 10:02:58,0.99
2023-07-19 10:02:58,804.0
