value
450
723
554
602
1100
650
478
508
772
1065
420
482
790
958
384
469
438
474
556
624
631
377
2243
586
1305
225
707
35
451
723
554
598
1100
651
478
509
772
1066
419
481
789
957
382
469
437
474
555
623
631
377
2239
593
1305
224
707
35
450
724
555
600
1101
653
478
509
773
1065
419
481
789
957
382
467
437
475
555
623
632
377
2238
593
1305
225
707
35
453
723
554
599
1105
652
477
508
772
1066
420
480
790
956
385
470
436
476
554
624
631
378
2239
593
1305
224
706
35
453
723
553
602
1120
649
478
507
773
1065
419
482
790
957
385
469
438
475
556
624
632
376
2238
592
1305
224
707
35
451
722
555
602
1124
653
478
508
773
1067
418
481
790
956
385
469
436
476
556
622
632
377
2237
588
1306
225
707
35
450
723
553
598
1121
650
478
509
773
1066
419
481
791
956
384
469
435
477
556
625
632
376
2237
589
1306
227
706
35
450
721
553
599
1120
652
478
508
772
1065
418
481
790
955
385
470
437
477
555
625
631
376
2235
589
1305
225
707
35
450
721
553
598
1122
649
479
507
773
1065
418
481
790
956
382
469
436
479
556
623
632
377
2235
587
1306
224
707
35
450
723
553
598
1121
652
479
511
773
1066
419
482
790
956
386
468
436
481
555
625
632
378
2235
588
1305
225
707
35
453
723
554
598
1122
651
478
509
773
1066
418
482
789
957
385
469
436
479
556
624
631
377
2236
587
1306
226
707
35
451
722
554
598
1122
652
478
507
773
1065
419
481
790
957
382
470
437
478
555
623
632
378
2235
593
1305
224
707
35
450
722
554
602
1122
651
479
509
773
1065
418
481
790
956
384
470
439
479
553
624
632
378
2237
593
1305
224
707
35
450
722
554
598
1119
652
478
510
773
1065
418
481
791
955
384
469
438
480
555
624
632
377
2237
588
1305
224
707
35
450
722
554
599
1117
649
478
509
773
1065
419
481
790
956
386
469
436
479
553
626
632
377
2235
587
1305
226
707
35
451
722
554
600
1112
650
479
508
773
1065
419
482
790
956
384
469
437
479
557
624
632
377
2235
589
1305
224
707
35
452
722
555
597
1109
650
478
510
772
1065
419
481
791
956
385
469
437
480
554
623
631
377
2237
587
1304
225
707
35
450
722
554
600
1110
649
478
509
773
1065
419
482
790
957
381
469
437
480
556
624
632
377
2237
588
1304
224
707
35
450
722
555
598
1121
651
479
509
772
1065
419
481
791
956
385
468
436
480
554
623
631
378
2237
588
1306
224
707
35
450
723
555
603
1123
652
477
507
773
1066
419
483
795
956
384
469
436
478
557
623
631
378
2235
593
1305
225
707
35
452
723
554
599
1121
653
477
510
772
1065
418
481
794
957
385
470
437
480
554
625
632
377
2236
593
1305
225
707
35
452
722
555
601
1121
652
477
509
773
1067
420
481
790
957
384
468
435
479
556
625
632
377
2236
588
1305
225
707
35
451
723
554
600
1121
649
478
509
773
1065
419
482
789
957
385
469
436
479
557
623
632
378
2235
589
1306
225
707
35
450
720
553
602
1121
652
477
509
773
1064
418
482
789
956
383
470
436
479
557
624
632
377
2236
589
1305
225
707
35
450
722
554
601
1119
653
477
510
773
1066
419
482
795
957
382
470
438
480
557
624
632
378
2236
587
1306
225
707
35
450
722
554
602
1121
651
477
509
773
1066
419
483
791
955
384
469
438
479
555
625
632
376
2237
587
1305
226
707
35
451
722
554
598
1121
652
478
507
773
1065
418
481
790
956
382
469
435
479
554
623
631
377
2235
592
1306
225
707
35
452
723
553
602
1121
652
478
507
773
1065
420
480
791
956
384
468
437
479
556
623
631
378
2236
592
1306
224
706
35
451
722
554
601
1120
652
478
509
772
1066
419
480
789
957
384
470
436
480
556
623
632
378
2235
589
1306
225
707
35
450
722
555
598
1121
649
478
509
773
1066
419
482
791
957
382
470
438
479
556
623
632
378
2235
587
1307
224
707
35
450
722
553
599
1122
652
478
507
773
1065
418
481
789
955
382
470
437
478
555
624
632
378
2235
588
1306
224
707
35
449
721
554
600
1118
649
477
507
772
1065
419
481
795
957
385
468
436
477
556
625
631
377
2235
588
1306
224
707
35
452
722
554
602
1120
653
478
510
773
1065
418
482
790
957
385
468
437
476
555
624
632
377
2237
588
1305
224
706
35
452
723
554
603
1121
653
478
509
773
1065
417
480
791
956
385
469
436
477
557
624
631
378
2240
588
1306
225
707
35
453
722
554
597
1119
652
478
508
773
1065
418
482
795
956
384
470
437
478
555
624
632
378
2240
589
1306
225
707
35
450
722
554
597
1119
650
478
507
773
1065
418
481
789
956
385
469
436
477
556
623
631
378
2239
592
1305
225
707
35
451
722
555
600
1119
652
478
509
773
1065
420
482
790
957
385
470
437
477
556
624
631
378
2240
587
1306
225
707
35
450
723
554
598
1117
651
477
509
772
1066
419
480
789
956
382
469
437
477
557
625
631
378
2240
593
1306
224
707
35
450
723
553
600
1118
652
477
508
773
1065
419
481
791
956
382
471
437
478
555
623
632
378
2238
588
1306
225
707
35
452
722
552
602
1117
651
477
507
773
1066
418
481
791
957
385
470
437
478
557
624
632
378
2237
588
1306
224
707
35
452
722
555
598
1115
652
477
510
773
1067
420
481
790
956
382
468
437
478
553
623
632
377
2239
588
1306
224
706
35
450
723
555
599
1117
651
478
509
772
1066
419
482
790
956
384
469
438
479
554
624
632
378
2239
589
1306
224
707
35
450
723
553
598
1119
650
478
507
771
1065
417
481
790
957
384
469
438
475
555
624
632
377
2240
588
1305
225
707
35
450
722
552
598
1119
652
478
508
773
1065
419
481
790
957
384
470
436
476
555
625
632
378
2236
588
1305
225
707
35
452
723
555
598
1111
650
478
509
773
1066
419
482
790
957
385
470
437
476
557
624
632
378
2238
593
1306
224
707
35
451
723
554
603
1108
650
477
509
773
1067
419
482
792
956
385
469
437
477
556
623
632
377
2235
592
1306
224
707
35
452
722
554
599
1113
649
479
507
773
1065
419
481
790
957
382
469
435
478
554
622
631
377
2236
589
1306
224
707
35
452
722
554
598
1121
650
478
508
772
1064
417
481
790
957
382
468
438
479
555
623
631
378
2238
587
1305
225
707
35
452
723
554
600
1121
653
478
510
773
1066
418
481
790
957
382
470
437
477
555
623
632
378
2238
588
1305
225
707
35
449
723
554
598
1120
652
478
508
773
1066
418
483
790
956
382
470
437
477
554
622
632
377
2239
593
1305
225
707
35
452
721
553
600
1119
651
479
507
772
1066
420
481
790
957
384
469
436
478
554
623
632
377
2236
587
1305
226
707
35
450
721
553
598
1121
653
478
509
772
1066
417
481
790
955
385
469
435
478
556
623
631
377
2238
588
1305
225
707
35
452
723
555
598
1121
652
479
508
772
1066
419
481
790
956
384
470
436
478
557
624
631
378
2237
588
1305
225
707
35
451
724
554
599
1121
652
478
510
773
1068
419
482
791
957
385
469
435
480
555
623
632
377
2239
589
1305
225
707
35
450
722
554
600
1120
652
478
507
772
1067
420
482
790
958
384
469
435
479
555
622
632
378
2237
592
1306
224
707
35
450
723
555
598
1121
653
477
510
772
1066
420
481
790
