s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,loc
564,712,595,597,563,587,472,535,770,1054,416,474,788,899,390,465,137,467,544,613,726,380,2157,585,1286,222,694,0
564,711,598,599,560,585,472,534,769,1054,415,474,787,899,387,466,134,467,544,613,728,379,2156,585,1287,223,697,0
564,711,596,597,562,585,474,535,770,1054,415,476,787,898,390,463,129,467,545,613,727,377,2155,585,1286,223,696,0
564,712,596,597,560,586,472,537,771,1054,414,476,787,899,390,463,129,467,544,613,727,378,2157,585,1286,223,696,0
564,713,597,598,560,586,471,534,770,1055,414,474,786,899,391,463,134,467,544,613,725,378,2155,586,1287,223,695,0
564,711,595,599,562,586,472,535,771,1055,414,474,787,899,387,462,133,467,545,613,727,379,2156,585,1286,223,696,0
564,711,595,599,559,585,474,535,771,1054,415,474,787,898,387,463,129,467,545,613,728,379,2157,586,1286,223,694,0
564,712,597,597,563,586,473,537,770,1055,415,474,787,899,390,464,135,467,545,613,727,379,2157,590,1287,223,696,0
564,714,597,597,560,586,472,535,770,1054,416,475,787,899,387,463,132,467,545,613,727,379,2155,591,1286,223,697,0
564,712,595,600,561,586,474,535,771,1053,414,475,787,899,387,463,129,467,544,613,728,379,2156,591,1286,223,696,0
564,712,597,599,560,585,475,537,771,1055,415,476,787,899,387,465,133,467,544,612,727,378,2158,591,1286,222,694,0
564,713,597,601,560,585,474,535,769,1055,414,475,787,899,390,465,130,467,545,613,725,379,2159,586,1285,223,696,0
564,713,595,601,561,587,474,535,771,1055,415,475,787,899,389,464,130,467,544,613,726,379,2156,586,1286,223,696,0
563,711,595,597,561,586,474,537,772,1053,416,474,787,898,391,463,136,467,545,613,726,379,2156,586,1285,223,695,0
563,711,595,599,556,587,475,535,771,1053,413,474,787,899,390,467,167,466,544,612,727,379,2156,584,1285,223,696,0
561,711,597,601,556,586,475,540,769,1055,415,475,787,900,390,465,178,467,544,613,728,378,2158,586,1286,223,694,0
561,713,595,599,556,586,475,536,770,1057,414,474,787,899,391,465,181,467,544,612,727,380,2156,586,1286,223,695,0
